Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air
318,005,305,205,245,135,105
319,005,305,205,245,135,105
320,005,305,205,245,135,105
321,005,305,205,245,135,105
322,005,305,205,245,135,105
323,005,305,205,245,135,105
324,005,305,205,245,135,105
325,006,306,206,246,136,106
326,005,305,205,245,135,105
327,005,305,205,245,135,105
328,005,305,205,245,135,105
329,005,305,205,245,135,105
330,006,306,206,246,136,106
331,006,306,206,246,136,106
332,006,306,206,246,136,106
333,006,306,206,246,136,106
334,006,306,206,246,136,106
335,005,305,205,245,135,105
336,005,305,205,245,135,105
337,005,305,205,245,135,105
338,005,305,205,245,135,105
339,006,306,206,246,136,106
341,006,306,206,246,136,106
342,005,305,205,245,135,105
344,005,305,205,245,135,105
346,005,305,205,245,135,105
347,005,305,205,245,135,105
349,006,306,206,246,136,106
350,005,305,205,245,135,105
351,005,305,205,245,135,105
352,005,305,205,245,135,105
354,005,305,205,245,135,105
355,005,305,205,245,135,105
356,005,305,205,245,135,105
357,005,305,205,245,135,105
358,005,305,205,245,135,105
359,005,305,205,245,135,105
360,005,305,205,245,135,105
361,005,305,205,245,135,105
362,005,305,205,245,135,105
363,005,305,205,245,135,105
364,005,305,205,245,135,105
365,006,306,206,246,136,106
366,006,306,206,246,136,106
367,005,305,205,245,135,105
368,005,305,205,245,135,105
369,005,305,205,245,135,105
370,005,305,205,245,135,105
371,005,305,205,245,135,105
372,005,305,205,245,135,105
373,005,305,205,245,135,105
374,005,305,205,245,135,105
375,005,305,205,245,135,105
376,004,304,204,244,134,104
377,004,304,204,244,134,104
378,004,304,204,244,134,104
379,004,304,204,244,134,104
380,005,305,205,245,135,105
381,006,306,206,246,136,106
382,005,305,205,245,135,105
383,005,305,205,245,135,105
384,005,305,205,245,135,105
385,005,305,205,245,135,105
386,006,306,206,246,136,106
387,006,306,206,246,136,106
388,005,305,205,245,135,105
389,005,305,205,245,135,105
390,006,306,206,246,136,106
391,006,306,206,246,136,106
392,006,306,206,246,136,106
393,005,305,205,245,135,105
394,006,306,206,246,136,106
395,006,306,206,246,136,106
396,006,306,206,246,136,106
397,005,305,205,245,135,105
398,005,305,205,245,135,105
399,005,305,205,245,135,105
400,005,305,205,245,135,105
401,005,305,205,245,135,105
402,005,305,205,245,135,105
403,004,304,204,244,134,104
404,004,304,204,244,134,104
405,004,304,204,244,134,104
406,004,304,204,244,134,104
407,004,304,204,244,134,104
408,004,304,204,244,134,104
409,004,304,204,244,134,104
410,005,305,205,245,135,105
411,004,304,204,244,134,104
412,004,304,204,244,134,104
413,004,304,204,244,134,104
414,004,304,204,244,134,104
415,004,304,204,244,134,104
416,004,304,204,244,134,104
417,004,304,204,244,134,104
418,004,304,204,244,134,104
420,005,305,205,245,135,105
421,005,305,205,245,135,105
422,005,305,205,245,135,105
423,005,305,205,245,135,105
424,005,305,205,245,135,105
425,004,304,204,244,134,104
426,004,304,204,244,134,104
427,005,305,205,245,135,105
430,004,304,204,244,134,104
431,004,304,204,244,134,104
432,004,304,204,244,134,104
433,004,304,204,244,134,104
434,004,304,204,244,134,104
435,004,304,204,244,134,104
436,004,304,204,244,134,104
437,004,304,204,244,134,104
438,004,304,204,244,134,104
439,004,304,204,244,134,104
440,004,304,204,244,134,104
441,004,304,204,244,134,104
442,004,304,204,244,134,104
443,004,304,204,244,134,104
444,004,304,204,244,134,104
445,004,304,204,244,134,104
446,004,304,204,244,134,104
447,004,304,204,244,134,104
448,004,304,204,244,134,104
449,004,304,204,244,134,104
450,005,305,205,245,135,105
451,004,304,204,244,134,104
452,004,304,204,244,134,104
453,004,304,204,244,134,104
454,004,304,204,244,134,104
455,004,304,204,244,134,104
456,004,304,204,244,134,104
457,004,304,204,244,134,104
458,004,304,204,244,134,104
459,004,304,204,244,134,104
460,005,305,205,245,135,105
461,005,305,205,245,135,105
462,005,305,205,245,135,105
463,005,305,205,245,135,105
464,005,305,205,245,135,105
465,005,305,205,245,135,105
466,005,305,205,245,135,105
467,004,304,204,244,134,104
468,004,304,204,244,134,104
469,005,305,205,245,135,105
470,005,305,205,245,135,105
471,005,305,205,245,135,105
472,005,305,205,245,135,105
473,004,304,204,244,134,104
474,005,305,205,245,135,105
475,005,305,205,245,135,105
476,005,305,205,245,135,105
477,005,305,205,245,135,105
478,005,305,205,245,135,105
479,005,305,205,245,135,105
480,004,304,204,244,134,104
481,004,304,204,244,134,104
482,004,304,204,244,134,104
483,004,304,204,244,134,104
484,004,304,204,244,134,104
485,004,304,204,244,134,104
486,004,304,204,244,134,104
487,004,304,204,244,134,104
488,004,304,204,244,134,104
489,004,304,204,244,134,104
490,004,304,204,244,134,104
491,004,304,204,244,134,104
492,004,304,204,244,134,104
493,004,304,204,244,134,104
494,004,304,204,244,134,104
495,004,304,204,244,134,104
496,004,304,204,244,134,104
497,005,305,205,245,135,105
498,005,305,205,245,135,105
499,005,305,205,245,135,105
500,005,305,205,245,135,105
501,005,305,205,245,135,105
502,005,305,205,245,135,105
503,005,305,205,245,135,105
504,005,305,205,245,135,105
505,006,306,206,246,136,106
506,005,305,205,245,135,105
507,005,305,205,245,135,105
508,005,305,205,245,135,105
509,005,305,205,245,135,105
510,006,306,206,246,136,106
511,006,306,206,246,136,106
512,006,306,206,246,136,106
513,006,306,206,246,136,106
514,006,306,206,246,136,106
515,006,306,206,246,136,106
516,006,306,206,246,136,106
520,005,305,205,245,135,105
521,005,305,205,245,135,105
522,005,305,205,245,135,105
523,005,305,205,245,135,105
524,005,305,205,245,135,105
525,005,305,205,245,135,105
526,005,305,205,245,135,105
527,005,305,205,245,135,105
528,005,305,205,245,135,105
530,005,305,205,245,135,105
531,005,305,205,245,135,105
532,005,305,205,245,135,105
534,005,305,205,245,135,105
535,005,305,205,245,135,105
537,005,305,205,245,135,105
538,005,305,205,245,135,105
539,005,305,205,245,135,105
540,005,305,205,245,135,105
541,005,305,205,245,135,105
542,005,305,205,245,135,105
543,005,305,205,245,135,105
544,005,305,205,245,135,105
545,005,305,205,245,135,105
546,005,305,205,245,135,105
547,005,305,205,245,135,105
548,005,305,205,245,135,105
549,005,305,205,245,135,105
550,005,305,205,245,135,105
551,005,305,205,245,135,105
553,005,305,205,245,135,105
554,005,305,205,245,135,105
555,005,305,205,245,135,105
556,005,305,205,245,135,105
557,005,305,205,245,135,105
558,005,305,205,245,135,105
559,005,305,205,245,135,105
560,006,306,206,246,136,106
561,006,306,206,246,136,106
562,006,306,206,246,136,106
563,006,306,206,246,136,106
564,006,306,206,246,136,106
565,006,306,206,246,136,106
566,006,306,206,246,136,106
567,006,306,206,246,136,106
569,006,306,206,246,136,106
570,006,306,206,246,136,106
571,006,306,206,246,136,106
572,006,306,206,246,136,106
573,006,306,206,246,136,106
574,006,306,206,246,136,106
575,006,306,206,246,136,106
576,007,307,207,247,137,107
577,007,307,207,247,137,107
580,006,306,206,246,136,106
581,006,306,206,246,136,106
582,006,306,206,246,136,106
583,006,306,206,246,136,106
584,006,306,206,246,136,106
585,006,306,206,246,136,106
586,007,307,207,247,137,107
587,007,307,207,247,137,107
588,007,307,207,247,137,107
590,007,307,207,247,137,107
591,007,307,207,247,137,107
592,007,307,207,247,137,107
593,007,307,207,247,137,107
594,008,308,208,248,138,108
595,007,307,207,247,137,107
596,008,308,208,248,138,108
597,008,308,208,248,138,108
598,008,308,208,248,138,108
599,008,308,208,248,138,108
600,005,305,205,245,135,105
601,005,305,205,245,135,105
602,005,305,205,245,135,105
603,005,305,205,245,135,105
604,005,305,205,245,135,105
605,005,305,205,245,135,105
606,005,305,205,245,135,105
607,005,305,205,245,135,105
608,005,305,205,245,135,105
609,005,305,205,245,135,105
610,005,305,205,245,135,105
611,005,305,205,245,135,105
612,005,305,205,245,135,105
613,005,305,205,245,135,105
614,005,305,205,245,135,105
615,005,305,205,245,135,105
616,005,305,205,245,135,105
617,005,305,205,245,135,105
618,005,305,205,245,135,105
619,005,305,205,245,135,105
620,005,305,205,245,135,105
622,005,305,205,245,135,105
623,005,305,205,245,135,105
624,005,305,205,245,135,105
625,005,305,205,245,135,105
626,005,305,205,245,135,105
627,005,305,205,245,135,105
628,005,305,205,245,135,105
629,005,305,205,245,135,105
630,005,305,205,245,135,105
631,005,305,205,245,135,105
633,005,305,205,245,135,105
634,005,305,205,245,135,105
635,005,305,205,245,135,105
636,005,305,205,245,135,105
637,005,305,205,245,135,105
638,005,305,205,245,135,105
639,006,306,206,246,136,106
640,006,306,206,246,136,106
641,006,306,206,246,136,106
644,006,306,206,246,136,106
645,006,306,206,246,136,106
646,006,306,206,246,136,106
647,006,306,206,246,136,106
648,006,306,206,246,136,106
649,006,306,206,246,136,106
650,005,305,205,245,135,105
651,005,305,205,245,135,105
652,005,305,205,245,135,105
653,006,306,206,246,136,106
654,005,305,205,245,135,105
655,005,305,205,245,135,105
656,006,306,206,246,136,106
657,006,306,206,246,136,106
658,006,306,206,246,136,106
660,006,306,206,246,136,106
661,006,306,206,246,136,106
662,006,306,206,246,136,106
664,006,306,206,246,136,106
665,006,306,206,246,136,106
666,006,306,206,246,136,106
667,006,306,206,246,136,106
668,006,306,206,246,136,106
669,006,306,206,246,136,106
670,006,306,206,246,136,106
671,006,306,206,246,136,106
672,006,306,206,246,136,106
673,006,306,206,246,136,106
674,006,306,206,246,136,106
675,006,306,206,246,136,106
676,006,306,206,246,136,106
677,007,307,207,247,137,107
678,006,306,206,246,136,106
679,007,307,207,247,137,107
680,006,306,206,246,136,106
681,006,306,206,246,136,106
683,006,306,206,246,136,106
684,006,306,206,246,136,106
685,006,306,206,246,136,106
686,006,306,206,246,136,106
687,006,306,206,246,136,106
688,006,306,206,246,136,106
689,006,306,206,246,136,106
690,006,306,206,246,136,106
691,006,306,206,246,136,106
692,006,306,206,246,136,106
693,007,307,207,247,137,107
700,006,306,206,246,136,106
701,006,306,206,246,136,106
703,006,306,206,246,136,106
704,006,306,206,246,136,106
705,006,306,206,246,136,106
706,006,306,206,246,136,106
707,006,306,206,246,136,106
708,006,306,206,246,136,106
710,006,306,206,246,136,106
711,006,306,206,246,136,106
712,006,306,206,246,136,106
713,006,306,206,246,136,106
714,006,306,206,246,136,106
716,006,306,206,246,136,106
717,006,306,206,246,136,106
718,006,306,206,246,136,106
719,006,306,206,246,136,106
720,006,306,206,246,136,106
721,006,306,206,246,136,106
722,006,306,206,246,136,106
723,006,306,206,246,136,106
724,005,305,205,245,135,105
725,005,305,205,245,135,105
726,006,306,206,246,136,106
727,006,306,206,246,136,106
728,006,306,206,246,136,106
729,006,306,206,246,136,106
730,006,306,206,246,136,106
731,006,306,206,246,136,106
733,007,307,207,247,137,107
734,006,306,206,246,136,106
735,006,306,206,246,136,106
736,006,306,206,246,136,106
737,006,306,206,246,136,106
738,006,306,206,246,136,106
739,007,307,207,247,137,107
740,006,306,206,246,136,106
741,006,306,206,246,136,106
743,006,306,206,246,136,106
744,006,306,206,246,136,106
745,006,306,206,246,136,106
746,006,306,206,246,136,106
747,006,306,206,246,136,106
748,006,306,206,246,136,106
749,006,306,206,246,136,106
750,006,306,206,246,136,106
751,006,306,206,246,136,106
752,006,306,206,246,136,106
753,006,306,206,246,136,106
754,006,306,206,246,136,106
755,006,306,206,246,136,106
756,006,306,206,246,136,106
757,006,306,206,246,136,106
758,006,306,206,246,136,106
759,006,306,206,246,136,106
760,006,306,206,246,136,106
761,006,306,206,246,136,106
762,006,306,206,246,136,106
763,006,306,206,246,136,106
764,006,306,206,246,136,106
765,007,307,207,247,137,107
766,006,306,206,246,136,106
767,006,306,206,246,136,106
768,007,307,207,247,137,107
769,007,307,207,247,137,107
770,006,306,206,246,136,106
772,006,306,206,246,136,106
773,006,306,206,246,136,106
774,006,306,206,246,136,106
775,006,306,206,246,136,106
776,006,306,206,246,136,106
777,006,306,206,246,136,106
778,006,306,206,246,136,106
779,007,307,207,247,137,107
780,007,307,207,247,137,107
781,007,307,207,247,137,107
782,007,307,207,247,137,107
783,007,307,207,247,137,107
784,007,307,207,247,137,107
785,007,307,207,247,137,107
786,007,307,207,247,137,107
787,007,307,207,247,137,107
788,007,307,207,247,137,107
789,007,307,207,247,137,107
790,007,307,207,247,137,107
791,007,307,207,247,137,107
792,007,307,207,247,137,107
793,007,307,207,247,137,107
794,007,307,207,247,137,107
795,007,307,207,247,137,107
796,007,307,207,247,137,107
797,007,307,207,247,137,107
798,008,308,208,248,138,108
799,008,308,208,248,138,108
800,007,307,207,247,137,107
801,007,307,207,247,137,107
802,007,307,207,247,137,107
803,007,307,207,247,137,107
804,007,307,207,247,137,107
805,007,307,207,247,137,107
806,007,307,207,247,137,107
807,007,307,207,247,137,107
808,007,307,207,247,137,107
809,007,307,207,247,137,107
810,007,307,207,247,137,107
811,007,307,207,247,137,107
812,007,307,207,247,137,107
813,007,307,207,247,137,107
814,007,307,207,247,137,107
815,008,308,208,248,138,108
816,007,307,207,247,137,107
820,007,307,207,247,137,107
821,007,307,207,247,137,107
822,007,307,207,247,137,107
823,007,307,207,247,137,107
824,007,307,207,247,137,107
825,007,307,207,247,137,107
826,007,307,207,247,137,107
827,007,307,207,247,137,107
828,007,307,207,247,137,107
829,007,307,207,247,137,107
830,007,307,207,247,137,107
831,007,307,207,247,137,107
832,008,308,208,248,138,108
833,008,308,208,248,138,108
834,008,308,208,248,138,108
835,008,308,208,248,138,108
836,008,308,208,248,138,108
837,008,308,208,248,138,108
838,008,308,208,248,138,108
840,008,308,208,248,138,108
841,008,308,208,248,138,108
842,008,308,208,248,138,108
843,008,308,208,248,138,108
844,008,308,208,248,138,108
845,008,308,208,248,138,108
846,008,308,208,248,138,108
847,008,308,208,248,138,108
850,008,308,208,248,138,108
851,008,308,208,248,138,108
852,008,308,208,248,138,108
853,008,308,208,248,138,108
855,008,308,208,248,138,108
856,008,308,208,248,138,108
857,008,308,208,248,138,108
859,008,308,208,248,138,108
860,008,308,208,248,138,108
863,008,308,208,248,138,108
864,008,308,208,248,138,108
865,008,308,208,248,138,108
870,007,307,207,247,137,107
871,007,307,207,247,137,107
873,008,308,208,248,138,108
874,008,308,208,248,138,108
875,007,307,207,247,137,107
877,007,307,207,247,137,107
878,007,307,207,247,137,107
879,007,307,207,247,137,107
880,008,308,208,248,138,108
881,007,307,207,247,137,107
882,007,307,207,247,137,107
883,007,307,207,247,137,107
884,007,307,207,247,137,107
885,008,308,208,248,138,108
889,008,308,208,248,138,108
890,008,308,208,248,138,108
891,008,308,208,248,138,108
893,008,308,208,248,138,108
894,008,308,208,248,138,108
895,008,308,208,248,138,108
897,008,308,208,248,138,108
898,008,308,208,248,138,108
900,008,308,208,248,138,108
901,008,308,208,248,138,108
902,008,308,208,248,138,108
903,008,308,208,248,138,108
904,008,308,208,248,138,108
905,008,308,208,248,138,108
906,008,308,208,248,138,108
907,008,308,208,248,138,108
908,008,308,208,248,138,108
910,008,308,208,248,138,108
911,008,308,208,248,138,108
912,008,308,208,248,138,108
913,008,308,208,248,138,108
914,008,308,208,248,138,108
915,008,308,208,248,138,108
916,008,308,208,248,138,108
917,008,308,208,248,138,108
918,008,308,208,248,138,108
919,008,308,208,248,138,108
920,008,308,208,248,138,108
921,008,308,208,248,138,108
922,008,308,208,248,138,108
923,008,308,208,248,138,108
924,008,308,208,248,138,108
925,008,308,208,248,138,108
926,008,308,208,248,138,108
927,008,308,208,248,138,108
928,008,308,208,248,138,108
930,008,308,208,248,138,108
931,008,308,208,248,138,108
932,008,308,208,248,138,108
933,008,308,208,248,138,108
934,008,308,208,248,138,108
935,008,308,208,248,138,108
936,008,308,208,248,138,108
937,008,308,208,248,138,108
938,008,308,208,248,138,108
939,008,308,208,248,138,108
940,008,308,208,248,138,108
941,008,308,208,248,138,108
942,008,308,208,248,138,108
943,008,308,208,248,138,108
944,008,308,208,248,138,108
945,008,308,208,248,138,108
946,008,308,208,248,138,108
947,008,308,208,248,138,108
948,008,308,208,248,138,108
949,008,308,208,248,138,108
950,008,308,208,248,138,108
951,008,308,208,248,138,108
952,008,308,208,248,138,108
953,008,308,208,248,138,108
954,008,308,208,248,138,108
955,008,308,208,248,138,108
956,008,308,208,248,138,108
957,008,308,208,248,138,108
958,008,308,208,248,138,108
959,008,308,208,248,138,108
960,008,308,208,248,138,108
961,008,308,208,248,138,108
970,008,308,208,248,138,108
971,008,308,208,248,138,108
972,008,308,208,248,138,108
973,008,308,208,248,138,108
974,008,308,208,248,138,108
975,008,308,208,248,138,108
976,008,308,208,248,138,108
977,008,308,208,248,138,108
978,008,308,208,248,138,108
979,008,308,208,248,138,108
980,008,308,208,248,138,108
981,008,308,208,248,138,108
982,008,308,208,248,138,108
983,008,308,208,248,138,108
984,008,308,208,248,138,108
985,008,308,208,248,138,108
986,008,308,208,248,138,108
988,008,308,208,248,138,108
989,008,308,208,248,138,108
990,008,308,208,248,138,108
991,008,308,208,248,138,108
992,008,308,208,248,138,108
993,008,308,208,248,138,108
994,008,308,208,248,138,108
